A1	Abstract_Group laugh.wav
A2	Abstract_Scratch.m4a
A3	Abstract_Sound with tough.wav
A4	Abstract_Walking.wav
B1	Action_Brush Teeth.wav
B2	Action_close door.m4a
B3	Action_Eating.wav
B4	Action_How about tuesday.wav
B5	Action_Open Bag.wav
B6	Action_Open Window.m4a
B7	Action_Utensil Preparation.wav
B8	Action_Vaccum.m4a
B9	Action_water and wash.wav
B10	Action_alarm.wav
B11	Action_Drinking Water.wav
B12	Action_Netflex-opening.wav
B13	Action_open the door.wav
B14	Action_Pouring Water.wav
B15	Action_typing.wav
B16	Action_fridge.m4a
B17	Action_Iain_teeth brushing.m4a
B18	Action_shower.m4a
B19	Action_almonds eating.m4a
C1	Ambience_Birds
C2	Ambience_Buildingsound.m4a
C3	Ambience_Construction.m4a
C4	Ambience_NYStreet sound like
C5	Ambience_chinatown cafè.m4a
